Evento,Año,Género,Medalla,Nombre,Apellido,Pais,Arrancada,Dos tiempos,Total,Fecha,País,Resultados
+87 kg,2019,Femenino,Bronce,Emily,Campbell,Reino Unido,115.0,145.0,260.0,2019,Reino Unido,115 + 145 = 260
+87 kg,2020,Femenino,Bronce,Melike,Günal,Turquía,108.0,135.0,243.0,2020,Turquía,108 + 135 = 243
+87 kg,2019,Femenino,Oro,Tatiana,Kashirina,Rusia,146.0,185.0,331.0,2019,Rusia,146 + 185 = 331
+87 kg,2020,Femenino,Oro,Emily,Campbell,Reino Unido,122.0,154.0,276.0,2020,Reino Unido,122 + 154 = 276
+87 kg,2019,Femenino,Plata,Anastasiya,Lysenko,Ucrania,120.0,148.0,268.0,2019,Ucrania,120 + 148 = 268
+87 kg,2020,Femenino,Plata,Anastasiya,Lysenko,Ucrania,116.0,136.0,252.0,2020,Ucrania,116 + 136 = 252
45 kg,2019,Femenino,Bronce,Yuliya,Asayonak,Bielorrusia,69.0,81.0,150.0,2019,Bielorrusia,69 + 81 = 150
45 kg,2020,Femenino,Bronce,Melisa,Güneş,Turquía,68.0,83.0,151.0,2020,Turquía,68 + 83 = 151
45 kg,2019,Femenino,Oro,Şaziye,Erdoğan,Turquía,75.0,88.0,163.0,2019,Turquía,75 + 88 = 163
45 kg,2020,Femenino,Oro,Nadezhda,Nguen,Bulgaria,72.0,83.0,155.0,2020,Bulgaria,72 + 83 = 155
45 kg,2019,Femenino,Plata,Ivana,Petrova,Bulgaria,69.0,89.0,158.0,2019,Bulgaria,69 + 89 = 158
45 kg,2020,Femenino,Plata,Ivana,Petrova,Bulgaria,67.0,85.0,152.0,2020,Bulgaria,67 + 85 = 152
49 kg,2019,Femenino,Bronce,Giorgia,Russo,Italia,75.0,103.0,178.0,2019,Italia,75 + 103 = 178
49 kg,2020,Femenino,Bronce,Mihaela,Cambei,Rumania,80.0,100.0,180.0,2020,Rumania,80 + 100 = 180
49 kg,2019,Femenino,Oro,Elena,Andrieș,Rumania,87.0,103.0,190.0,2019,Rumania,87 + 103 = 190
49 kg,2020,Femenino,Oro,Monica,Csengeri,Rumania,86.0,103.0,189.0,2020,Rumania,86 + 103 = 189
49 kg,2019,Femenino,Plata,Kristina,Sobol,Rusia,85.0,95.0,180.0,2019,Rusia,85 + 95 = 180
49 kg,2020,Femenino,Plata,Kristina,Sobol,Rusia,85.0,96.0,181.0,2020,Rusia,85 + 96 = 181
55 kg,2019,Femenino,Bronce,Kristina,Novitskaya,Rusia,85.0,105.0,190.0,2019,Rusia,85 + 105 = 190
55 kg,2020,Femenino,Bronce,Nina,Sterckx,Bélgica,88.0,109.0,197.0,2020,Bélgica,88 + 109 = 197
55 kg,2019,Femenino,Oro,Joanna,Łochowska,Polonia,87.0,112.0,199.0,2019,Polonia,87 + 112 = 199
55 kg,2020,Femenino,Oro,Kamila,Konotop,Ucrania,95.0,113.0,208.0,2020,Ucrania,95 + 113 = 208
55 kg,2019,Femenino,Plata,Svetlana,Yershova,Rusia,90.0,108.0,198.0,2019,Rusia,90 + 108 = 198
55 kg,2020,Femenino,Plata,Svetlana,Yershova,Rusia,88.0,112.0,200.0,2020,Rusia,88 + 112 = 200
59 kg,2019,Femenino,Bronce,Alexandra,Kozlova,Rusia,96.0,117.0,213.0,2019,Rusia,96 + 117 = 213
59 kg,2020,Femenino,Bronce,Dora,Tchakounté,Francia,95.0,115.0,210.0,2020,Francia,95 + 115 = 210
59 kg,2019,Femenino,Oro,Rebeka,Koha,Letonia,101.0,120.0,221.0,2019,Letonia,101 + 120 = 221
59 kg,2020,Femenino,Oro,Boyanka,Kostova,Azerbaiyán,95.0,116.0,211.0,2020,Azerbaiyán,95 + 116 = 211
59 kg,2019,Femenino,Plata,Tatiana,Aleyeva,Rusia,94.0,120.0,214.0,2019,Rusia,94 + 120 = 214
59 kg,2020,Femenino,Plata,Olga,Tio,Rusia,95.0,115.0,210.0,2020,Rusia,95 + 115 = 210
64 kg,2019,Femenino,Bronce,Zoe,Smith,Reino Unido,96.0,128.0,224.0,2019,Reino Unido,96 + 128 = 224
64 kg,2020,Femenino,Bronce,Anastasiya,Anzorova,Rusia,100.0,122.0,222.0,2020,Rusia,100 + 122 = 222
64 kg,2019,Femenino,Oro,Loredana,Toma,Rumania,111.0,128.0,239.0,2019,Rumania,111 + 128 = 239
64 kg,2020,Femenino,Oro,Loredana,Toma,Rumania,114.0,130.0,244.0,2020,Rumania,114 + 130 = 244
64 kg,2019,Femenino,Plata,Irina,Lepșa,Rumania,102.0,127.0,229.0,2019,Rumania,102 + 127 = 229
64 kg,2020,Femenino,Plata,Sarah,Davies,Reino Unido,101.0,129.0,230.0,2020,Reino Unido,101 + 129 = 230
71 kg,2019,Femenino,Bronce,Mădălina,Molie,Rumania,101.0,114.0,215.0,2019,Rumania,101 + 114 = 215
71 kg,2020,Femenino,Bronce,Raluca,Olaru,Rumania,98.0,120.0,218.0,2020,Rumania,98 + 120 = 218
71 kg,2019,Femenino,Oro,Anastasiya,Romanova,Rusia,112.0,128.0,240.0,2019,Rusia,112 + 128 = 240
71 kg,2020,Femenino,Oro,Emily,Godley,Reino Unido,98.0,129.0,227.0,2020,Reino Unido,98 + 129 = 227
71 kg,2019,Femenino,Plata,Emily,Godley,Reino Unido,93.0,123.0,216.0,2019,Reino Unido,93 + 123 = 216
71 kg,2020,Femenino,Plata,Alessia,Durante,Italia,97.0,122.0,219.0,2020,Italia,97 + 122 = 219
76 kg,2019,Femenino,Bronce,Patricia,Strenius,Suecia,101.0,132.0,233.0,2019,Suecia,101 + 132 = 233
76 kg,2020,Femenino,Bronce,Anastasiya,Romanova,Rusia,111.0,132.0,243.0,2020,Rusia,111 + 132 = 243
76 kg,2019,Femenino,Oro,Daria,Naumava,Bielorrusia,106.0,136.0,242.0,2019,Bielorrusia,106 + 136 = 242
76 kg,2020,Femenino,Oro,Iryna,Deja,Ucrania,113.0,135.0,248.0,2020,Ucrania,113 + 135 = 248
76 kg,2019,Femenino,Plata,Lidia,Valentín[2],España,108.0,133.0,241.0,2019,España,108 + 133 = 241
76 kg,2020,Femenino,Plata,Yana,Sotiyeva,Rusia,112.0,134.0,246.0,2020,Rusia,112 + 134 = 246
81 kg,2019,Femenino,Bronce,Liana,Guiurdzhian,Armenia,97.0,120.0,217.0,2019,Armenia,97 + 120 = 217
81 kg,2020,Femenino,Bronce,Liana,Guiurdzhian,Armenia,98.0,129.0,227.0,2020,Armenia,98 + 129 = 227
81 kg,2019,Femenino,Oro,Nina,Schroth,Alemania,102.0,120.0,222.0,2019,Alemania,102 + 120 = 222
81 kg,2020,Femenino,Oro,Alina,Marushchak,Ucrania,109.0,127.0,236.0,2020,Ucrania,109 + 127 = 236
81 kg,2019,Femenino,Plata,Anna,Van Bellinghen,Bélgica,103.0,118.0,221.0,2019,Bélgica,103 + 118 = 221
81 kg,2020,Femenino,Plata,Gaëlle,Nayo-Ketchanke,Francia,100.0,131.0,231.0,2020,Francia,100 + 131 = 231
87 kg,2019,Femenino,Bronce,Sarah,Fischer,Austria,102.0,129.0,231.0,2019,Austria,102 + 129 = 231
87 kg,2020,Femenino,Bronce,Daria,Riazanova,Rusia,105.0,135.0,240.0,2020,Rusia,105 + 135 = 240
87 kg,2019,Femenino,Oro,Xeniya,Pasjina,Rusia,110.0,132.0,242.0,2019,Rusia,110 + 132 = 242
87 kg,2020,Femenino,Oro,Daria,Ajmerova,Rusia,108.0,138.0,246.0,2020,Rusia,108 + 138 = 246
87 kg,2019,Femenino,Plata,Diana,Mstiyeva,Rusia,110.0,130.0,240.0,2019,Rusia,110 + 130 = 240
87 kg,2020,Femenino,Plata,Elena,Cîlcic,Moldavia,107.0,138.0,245.0,2020,Moldavia,107 + 138 = 245
+109 kg,2019,Masculino,Bronce,Ruben,Alexanian,Armenia,195.0,245.0,440.0,2019,Armenia,195 + 245 = 440
+109 kg,2020,Masculino,Bronce,Varazdat,Lalayan,Armenia,205.0,240.0,445.0,2020,Armenia,205 + 240 = 445
+109 kg,2019,Masculino,Oro,Lasha,Talajadze,Georgia,218.0,260.0,478.0,2019,Georgia,218 + 260 = 478
+109 kg,2020,Masculino,Oro,Lasha,Talajadze,Georgia,222.0,263.0,485.0,2020,Georgia,222 + 263 = 485
+109 kg,2019,Masculino,Plata,Irakli,Turmanidze,Georgia,206.0,241.0,447.0,2019,Georgia,206 + 241 = 447
+109 kg,2020,Masculino,Plata,Gor,Minasian,Armenia,216.0,248.0,464.0,2020,Armenia,216 + 248 = 464
102 kg,2019,Masculino,Bronce,Vadzim,Straltsou,Bielorrusia,170.0,206.0,376.0,2019,Bielorrusia,170 + 206 = 376
102 kg,2020,Masculino,Bronce,Dadaş,Dadaşbəyli,Azerbaiyán,177.0,202.0,379.0,2020,Azerbaiyán,177 + 202 = 379
102 kg,2019,Masculino,Oro,Dmytro,Chumak,Ucrania,175.0,216.0,391.0,2019,Ucrania,175 + 216 = 391
102 kg,2020,Masculino,Oro,Samvel,Gasparian,Armenia,176.0,214.0,390.0,2020,Armenia,176 + 214 = 390
102 kg,2019,Masculino,Plata,Samvel,Gasparian,Armenia,168.0,209.0,377.0,2019,Armenia,168 + 209 = 377
102 kg,2020,Masculino,Plata,Arsen,Martirosian,Armenia,171.0,209.0,380.0,2020,Armenia,171 + 209 = 380
109 kg,2019,Masculino,Bronce,Rodion,Bochkov,Rusia,192.0,218.0,410.0,2019,Rusia,192 + 218 = 410
109 kg,2020,Masculino,Bronce,Timur,Naniyev,Rusia,184.0,217.0,401.0,2020,Rusia,184 + 217 = 401
109 kg,2019,Masculino,Oro,Simon,Martirosian,Armenia,192.0,235.0,427.0,2019,Armenia,192 + 235 = 427
109 kg,2020,Masculino,Oro,Dmytro,Chumak,Ucrania,181.0,226.0,407.0,2020,Ucrania,181 + 226 = 407
109 kg,2019,Masculino,Plata,Andrei,Aramnau,Bielorrusia,190.0,221.0,411.0,2019,Bielorrusia,190 + 221 = 411
109 kg,2020,Masculino,Plata,Jristo,Jristov,Bulgaria,186.0,220.0,406.0,2020,Bulgaria,186 + 220 = 406
55 kg,2019,Masculino,Bronce,Muammer,Şahin,Turquía,112.0,135.0,247.0,2019,Turquía,112 + 135 = 247
55 kg,2020,Masculino,Bronce,Dmytro,Voronovsky,Ucrania,110.0,137.0,247.0,2020,Ucrania,110 + 137 = 247
55 kg,2019,Masculino,Oro,Mirco,Scarantino,Italia,116.0,145.0,261.0,2019,Italia,116 + 145 = 261
55 kg,2020,Masculino,Oro,Anguel,Rusev,Bulgaria,111.0,147.0,258.0,2020,Bulgaria,111 + 147 = 258
55 kg,2019,Masculino,Plata,Anguel,Rusev,Bulgaria,110.0,146.0,256.0,2019,Bulgaria,110 + 146 = 256
55 kg,2020,Masculino,Plata,Valentin,Iancu,Rumania,108.0,140.0,248.0,2020,Rumania,108 + 140 = 248
61 kg,2019,Masculino,Bronce,Ferdi,Hardal,Turquía,127.0,155.0,282.0,2019,Turquía,127 + 155 = 282
61 kg,2020,Masculino,Bronce,Ferdi,Hardal,Turquía,130.0,157.0,287.0,2020,Turquía,130 + 157 = 287
61 kg,2019,Masculino,Oro,Henadz,Laptseu,Bielorrusia,133.0,153.0,286.0,2019,Bielorrusia,133 + 153 = 286
61 kg,2020,Masculino,Oro,Stilian,Grozdev,Bulgaria,136.0,160.0,296.0,2020,Bulgaria,136 + 160 = 296
61 kg,2019,Masculino,Plata,Bünyamin,Sezer,Turquía,132.0,151.0,283.0,2019,Turquía,132 + 151 = 283
61 kg,2020,Masculino,Plata,Shota,Mishvelidze,Georgia,135.0,155.0,290.0,2020,Georgia,135 + 155 = 290
67 kg,2019,Masculino,Bronce,Goga,Chjeidze,Georgia,139.0,169.0,308.0,2019,Georgia,139 + 169 = 308
67 kg,2020,Masculino,Bronce,Valentin,Guenchev,Bulgaria,138.0,177.0,315.0,2020,Bulgaria,138 + 177 = 315
67 kg,2019,Masculino,Oro,Bernardin,Matam,Francia,137.0,175.0,312.0,2019,Francia,137 + 175 = 312
67 kg,2020,Masculino,Oro,Muhammed,Özbek,Turquía,145.0,178.0,323.0,2020,Turquía,145 + 178 = 323
67 kg,2019,Masculino,Plata,Simon,Brandhuber,Alemania,146.0,165.0,311.0,2019,Alemania,146 + 165 = 311
67 kg,2020,Masculino,Plata,Mirko,Zanni,Italia,148.0,170.0,318.0,2020,Italia,148 + 170 = 318
73 kg,2019,Masculino,Bronce,Vadzim,Lijarad,Bielorrusia,153.0,182.0,335.0,2019,Bielorrusia,153 + 182 = 335
73 kg,2020,Masculino,Bronce,Briken,Calja,Albania,152.0,184.0,336.0,2020,Albania,152 + 184 = 336
73 kg,2019,Masculino,Oro,Bozhidar,Andreev,Bulgaria,153.0,192.0,345.0,2019,Bulgaria,153 + 192 = 345
73 kg,2020,Masculino,Oro,Daniyar,İsmayilov,Turquía,160.0,181.0,341.0,2020,Turquía,160 + 181 = 341
73 kg,2019,Masculino,Plata,Briken,Calja,Albania,156.0,183.0,339.0,2019,Albania,156 + 183 = 339
73 kg,2020,Masculino,Plata,Marin,Robu,Moldavia,156.0,183.0,339.0,2020,Moldavia,156 + 183 = 339
81 kg,2019,Masculino,Bronce,Ritvars,Suharevs,Letonia,162.0,192.0,354.0,2019,Letonia,162 + 192 = 354
81 kg,2020,Masculino,Bronce,Ritvars,Suharevs,Letonia,157.0,190.0,347.0,2020,Letonia,157 + 190 = 347
81 kg,2019,Masculino,Oro,Antonino,Pizzolato,Italia,155.0,201.0,356.0,2019,Italia,155 + 201 = 356
81 kg,2020,Masculino,Oro,Antonino,Pizzolato,Italia,164.0,206.0,370.0,2020,Italia,164 + 206 = 370
81 kg,2019,Masculino,Plata,Piotr,Asayonak,Bielorrusia,159.0,196.0,355.0,2019,Bielorrusia,159 + 196 = 355
81 kg,2020,Masculino,Plata,Karlos,Nasar,Bulgaria,163.0,206.0,369.0,2020,Bulgaria,163 + 206 = 369
89 kg,2019,Masculino,Bronce,Davit,Hovhannisian,Armenia,165.0,195.0,360.0,2019,Armenia,165 + 195 = 360
89 kg,2020,Masculino,Bronce,Andranik,Karapetian,Armenia,170.0,195.0,365.0,2020,Armenia,170 + 195 = 365
89 kg,2019,Masculino,Oro,Hakob,Mkrtchian,Armenia,164.0,207.0,371.0,2019,Armenia,164 + 207 = 371
89 kg,2020,Masculino,Oro,Karen,Avaguian,Armenia,175.0,200.0,375.0,2020,Armenia,175 + 200 = 375
89 kg,2019,Masculino,Plata,Revaz,Davitadze,Georgia,170.0,200.0,370.0,2019,Georgia,170 + 200 = 370
89 kg,2020,Masculino,Plata,Revaz,Davitadze,Georgia,171.0,203.0,374.0,2020,Georgia,171 + 203 = 374
96 kg,2019,Masculino,Bronce,Anton,Pliesnoi,Georgia,173.0,204.0,377.0,2019,Georgia,173 + 204 = 377
96 kg,2020,Masculino,Bronce,Hakob,Mkrtchian,Armenia,160.0,212.0,372.0,2020,Armenia,160 + 212 = 372
96 kg,2019,Masculino,Oro,Yauheni,Tsijantsou,Bielorrusia,178.0,222.0,400.0,2019,Bielorrusia,178 + 222 = 400
96 kg,2020,Masculino,Oro,Anton,Pliesnoi,Georgia,180.0,213.0,393.0,2020,Georgia,180 + 213 = 393
96 kg,2019,Masculino,Plata,Yegor,Klimonov,Rusia,168.0,210.0,378.0,2019,Rusia,168 + 210 = 378
96 kg,2020,Masculino,Plata,Piotr,Asayonak,Bielorrusia,172.0,202.0,374.0,2020,Bielorrusia,172 + 202 = 374
55 kg (04.04),2021,Masculino,Oro,Anguel,Rusev,Bulgaria,111.0,147.0,258.0,2021,Bulgaria,111 + 147 = 258
61 kg (04.04),2021,Masculino,Oro,Stilian,Grozdev,Bulgaria,136.0,160.0,296.0,2021,Bulgaria,136 + 160 = 296
67 kg (05.04),2021,Masculino,Oro,Muhammed,Özbek,Turquía,145.0,178.0,323.0,2021,Turquía,145 + 178 = 323
73 kg (06.04),2021,Masculino,Oro,Daniyar,İsmayilov,Turquía,160.0,181.0,341.0,2021,Turquía,160 + 181 = 341
81 kg (07.04),2021,Masculino,Oro,Antonino,Pizzolato,Italia,164.0,206.0,370.0,2021,Italia,164 + 206 = 370
89 kg (08.04),2021,Masculino,Oro,Karen,Avaguian,Armenia,175.0,200.0,375.0,2021,Armenia,175 + 200 = 375
96 kg (09.04),2021,Masculino,Oro,Anton,Pliesnoi,Georgia,180.0,213.0,393.0,2021,Georgia,180 + 213 = 393
102 kg (10.04),2021,Masculino,Oro,Samvel,Gasparian,Armenia,176.0,214.0,390.0,2021,Armenia,176 + 214 = 390
109 kg (10.04),2021,Masculino,Oro,Dmytro,Chumak,Ucrania,181.0,226.0,407.0,2021,Ucrania,181 + 226 = 407
+109 kg (11.04),2021,Masculino,Oro,Lasha,Talajadze,Georgia,222.0,263.0,485.0,2021,Georgia,222 + 263 = 485
45 kg (03.04),2021,Femenino,Oro,Nadezhda,Nguen,Bulgaria,72.0,83.0,155.0,2021,Bulgaria,72 + 83 = 155
49 kg (03.04),2021,Femenino,Oro,Monica,Csengeri,Rumania,86.0,103.0,189.0,2021,Rumania,86 + 103 = 189
55 kg (04.04),2021,Femenino,Oro,Kamila,Konotop,Ucrania,95.0,113.0,208.0,2021,Ucrania,95 + 113 = 208
59 kg (05.04),2021,Femenino,Oro,Boyanka,Kostova,Azerbaiyán,95.0,116.0,211.0,2021,Azerbaiyán,95 + 116 = 211
64 kg (06.04),2021,Femenino,Oro,Loredana,Toma,Rumania,114.0,130.0,244.0,2021,Rumania,114 + 130 = 244
71 kg (07.04),2021,Femenino,Oro,Emily,Godley,Reino Unido,98.0,129.0,227.0,2021,Reino Unido,98 + 129 = 227
76 kg (08.04),2021,Femenino,Oro,Iryna,Deja,Ucrania,113.0,135.0,248.0,2021,Ucrania,113 + 135 = 248
81 kg (09.04),2021,Femenino,Oro,Alina,Marushchak,Ucrania,109.0,127.0,236.0,2021,Ucrania,109 + 127 = 236
87 kg (10.04),2021,Femenino,Oro,Daria,Ajmerova,Rusia,108.0,138.0,246.0,2021,Rusia,108 + 138 = 246
+87 kg (11.04),2021,Femenino,Oro,Emily,Campbell,Reino Unido,122.0,154.0,276.0,2021,Reino Unido,122 + 154 = 276
55 kg (29.05),2022,Masculino,Oro,Anguel,Rusev,Bulgaria,113.0,144.0,257.0,2022,Bulgaria,113 + 144 = 257
61 kg (29.05),2022,Masculino,Oro,Ivan,Dimov,Bulgaria,135.0,151.0,286.0,2022,Bulgaria,135 + 151 = 286
67 kg (30.05),2022,Masculino,Oro,Valentin,Guenchev,Bulgaria,139.0,175.0,314.0,2022,Bulgaria,139 + 175 = 314
73 kg (31.05),2022,Masculino,Oro,Muhammed,Özbek,Turquía,149.0,190.0,339.0,2022,Turquía,149 + 190 = 339
81 kg (01.06),2022,Masculino,Oro,Rafik,Harutiunian,Armenia,160.0,194.0,354.0,2022,Armenia,160 + 194 = 354
89 kg (02.06),2022,Masculino,Oro,Antonino,Pizzolato,Italia,175.0,217.0,392.0,2022,Italia,175 + 217 = 392
96 kg (03.06),2022,Masculino,Oro,Davit,Hovhannisian,Armenia,171.0,206.0,377.0,2022,Armenia,171 + 206 = 377
102 kg (04.06),2022,Masculino,Oro,David,Fischerov,Bulgaria,177.0,215.0,392.0,2022,Bulgaria,177 + 215 = 392
109 kg (04.06),2022,Masculino,Oro,Jristo,Jristov,Bulgaria,180.0,211.0,391.0,2022,Bulgaria,180 + 211 = 391
+109 kg (05.06),2022,Masculino,Oro,Lasha,Talajadze,Georgia,217.0,245.0,462.0,2022,Georgia,217 + 245 = 462
45 kg (28.05),2022,Femenino,Oro,Şaziye,Erdoğan,Turquía,73.0,90.0,163.0,2022,Turquía,73 + 90 = 163
49 kg (28.05),2022,Femenino,Oro,Giulia,Imperio,Italia,79.0,92.0,171.0,2022,Italia,79 + 92 = 171
55 kg (29.05),2022,Femenino,Oro,Evagjelia,Veli,Albania,95.0,113.0,208.0,2022,Albania,95 + 113 = 208
59 kg (30.05),2022,Femenino,Oro,Dora,Tchakounté,Francia,96.0,117.0,213.0,2022,Francia,96 + 117 = 213
64 kg (31.05),2022,Femenino,Oro,Mariya,Hanhur,Ucrania,102.0,120.0,222.0,2022,Ucrania,102 + 120 = 222
71 kg (01.06),2022,Femenino,Oro,Patricia,Strenius,Suecia,94.0,130.0,224.0,2022,Suecia,94 + 130 = 224
76 kg (02.06),2022,Femenino,Oro,Marie,Fegue,Francia,110.0,135.0,245.0,2022,Francia,110 + 135 = 245
81 kg (03.06),2022,Femenino,Oro,Iryna,Deja,Ucrania,116.0,137.0,253.0,2022,Ucrania,116 + 137 = 253
87 kg (04.06),2022,Femenino,Oro,Solfrid,Koanda,Noruega,109.0,143.0,252.0,2022,Noruega,109 + 143 = 252
+87 kg (05.06),2022,Femenino,Oro,Emily,Campbell,Reino Unido,118.0,153.0,271.0,2022,Reino Unido,118 + 153 = 271
55 kg (16.04),2023,Masculino,Oro,Anguel,Rusev,Bulgaria,109.0,141.0,250.0,2023,Bulgaria,109 + 141 = 250
61 kg (16.04),2023,Masculino,Oro,Shota,Mishvelidze,Georgia,136.0,162.0,298.0,2023,Georgia,136 + 162 = 298
67 kg (17.04),2023,Masculino,Oro,Gor,Sahakian,Armenia,145.0,175.0,320.0,2023,Armenia,145 + 175 = 320
73 kg (18.04),2023,Masculino,Oro,Ritvars,Suharevs,Letonia,152.0,184.0,336.0,2023,Letonia,152 + 184 = 336
81 kg (19.04),2023,Masculino,Oro,Oscar,Reyes Martínez,Italia,155.0,188.0,343.0,2023,Italia,155 + 188 = 343
89 kg (20.04),2023,Masculino,Oro,Karlos,Nasar,Bulgaria,174.0,221.0,395.0,2023,Bulgaria,174 + 221 = 395
96 kg (21.04),2023,Masculino,Oro,Davit,Hovhannisian,Armenia,172.0,205.0,377.0,2023,Armenia,172 + 205 = 377
102 kg (22.04),2023,Masculino,Oro,Garik,Karapetian,Armenia,178.0,214.0,392.0,2023,Armenia,178 + 214 = 392
109 kg (22.04),2023,Masculino,Oro,Samvel,Gasparian,Armenia,175.0,220.0,395.0,2023,Armenia,175 + 220 = 395
+109 kg (23.04),2023,Masculino,Oro,Lasha,Talajadze,Georgia,222.0,252.0,474.0,2023,Georgia,222 + 252 = 474
45 kg (15.04),2023,Femenino,Oro,Cansu,Bektaş,Turquía,72.0,90.0,162.0,2023,Turquía,72 + 90 = 162
49 kg (15.04),2023,Femenino,Oro,Mihaela,Cambei,Rumania,92.0,106.0,198.0,2023,Rumania,92 + 106 = 198
55 kg (16.04),2023,Femenino,Oro,Andreea,Cotruță,Rumania,91.0,110.0,201.0,2023,Rumania,91 + 110 = 201
59 kg (17.04),2023,Femenino,Oro,Kamila,Konotop,Ucrania,106.0,129.0,235.0,2023,Ucrania,106 + 129 = 235
64 kg (18.04),2023,Femenino,Oro,Nuray,Güngör,Turquía,99.0,120.0,219.0,2023,Turquía,99 + 120 = 219
71 kg (19.04),2023,Femenino,Oro,Loredana,Toma,Rumania,110.0,130.0,240.0,2023,Rumania,110 + 130 = 240
76 kg (20.04),2023,Femenino,Oro,Marie,Fegue,Francia,113.0,140.0,253.0,2023,Francia,113 + 140 = 253
81 kg (21.04),2023,Femenino,Oro,Iryna,Deja,Ucrania,123.0,135.0,258.0,2023,Ucrania,123 + 135 = 258
87 kg (22.04),2023,Femenino,Oro,Solfrid,Koanda,Noruega,117.0,155.0,272.0,2023,Noruega,117 + 155 = 272
+87 kg (23.04),2023,Femenino,Oro,Emily,Campbell,Reino Unido,110.0,143.0,253.0,2023,Reino Unido,110 + 143 = 253
55 kg (13.02),2024,Masculino,Oro,Anguel,Rusev,Bulgaria,109.0,135.0,244.0,2024,Bulgaria,109 + 135 = 244
61 kg (13.02),2024,Masculino,Oro,Gabriel,Marinov,Bulgaria,121.0,160.0,281.0,2024,Bulgaria,121 + 160 = 281
67 kg (14.02),2024,Masculino,Oro,Gor,Sahakian,Armenia,140.0,171.0,311.0,2024,Armenia,140 + 171 = 311
73 kg (15.02),2024,Masculino,Oro,Bozhidar,Andreev,Bulgaria,155.0,193.0,348.0,2024,Bulgaria,155 + 193 = 348
81 kg (16.02),2024,Masculino,Oro,Oscar,Reyes Martínez,Italia,155.0,191.0,346.0,2024,Italia,155 + 191 = 346
