Evento,Año,Género,Medalla,Nombre,Apellido,Pais,Arrancada,Dos_Tiempos,Total
+87 kg,2019,Femenino,Bronce,Emily,Campbell,Reino Unido,115.0,145.0,260.0
+87 kg,2020,Femenino,Bronce,Melike,Günal,Turquía,108.0,135.0,243.0
+87 kg,2019,Femenino,Oro,Tatiana,Kashirina,Rusia,146.0,185.0,331.0
+87 kg,2020,Femenino,Oro,Emily,Campbell,Reino Unido,122.0,154.0,276.0
+87 kg,2019,Femenino,Plata,Anastasiya,Lysenko,Ucrania,120.0,148.0,268.0
+87 kg,2020,Femenino,Plata,Anastasiya,Lysenko,Ucrania,116.0,136.0,252.0
45 kg,2019,Femenino,Bronce,Yuliya,Asayonak,Bielorrusia,69.0,81.0,150.0
45 kg,2020,Femenino,Bronce,Melisa,Güneş,Turquía,68.0,83.0,151.0
45 kg,2019,Femenino,Oro,Şaziye,Erdoğan,Turquía,75.0,88.0,163.0
45 kg,2020,Femenino,Oro,Nadezhda,Nguen,Bulgaria,72.0,83.0,155.0
45 kg,2019,Femenino,Plata,Ivana,Petrova,Bulgaria,69.0,89.0,158.0
45 kg,2020,Femenino,Plata,Ivana,Petrova,Bulgaria,67.0,85.0,152.0
49 kg,2019,Femenino,Bronce,Giorgia,Russo,Italia,75.0,103.0,178.0
49 kg,2020,Femenino,Bronce,Mihaela,Cambei,Rumania,80.0,100.0,180.0
49 kg,2019,Femenino,Oro,Elena,Andrieș,Rumania,87.0,103.0,190.0
49 kg,2020,Femenino,Oro,Monica,Csengeri,Rumania,86.0,103.0,189.0
49 kg,2019,Femenino,Plata,Kristina,Sobol,Rusia,85.0,95.0,180.0
49 kg,2020,Femenino,Plata,Kristina,Sobol,Rusia,85.0,96.0,181.0
55 kg,2019,Femenino,Bronce,Kristina,Novitskaya,Rusia,85.0,105.0,190.0
55 kg,2020,Femenino,Bronce,Nina,Sterckx,Bélgica,88.0,109.0,197.0
55 kg,2019,Femenino,Oro,Joanna,Łochowska,Polonia,87.0,112.0,199.0
55 kg,2020,Femenino,Oro,Kamila,Konotop,Ucrania,95.0,113.0,208.0
55 kg,2019,Femenino,Plata,Svetlana,Yershova,Rusia,90.0,108.0,198.0
55 kg,2020,Femenino,Plata,Svetlana,Yershova,Rusia,88.0,112.0,200.0
59 kg,2019,Femenino,Bronce,Alexandra,Kozlova,Rusia,96.0,117.0,213.0
59 kg,2020,Femenino,Bronce,Dora,Tchakounté,Francia,95.0,115.0,210.0
59 kg,2019,Femenino,Oro,Rebeka,Koha,Letonia,101.0,120.0,221.0
59 kg,2020,Femenino,Oro,Boyanka,Kostova,Azerbaiyán,95.0,116.0,211.0
59 kg,2019,Femenino,Plata,Tatiana,Aleyeva,Rusia,94.0,120.0,214.0
59 kg,2020,Femenino,Plata,Olga,Tio,Rusia,95.0,115.0,210.0
64 kg,2019,Femenino,Bronce,Zoe,Smith,Reino Unido,96.0,128.0,224.0
64 kg,2020,Femenino,Bronce,Anastasiya,Anzorova,Rusia,100.0,122.0,222.0
64 kg,2019,Femenino,Oro,Loredana,Toma,Rumania,111.0,128.0,239.0
64 kg,2020,Femenino,Oro,Loredana,Toma,Rumania,114.0,130.0,244.0
64 kg,2019,Femenino,Plata,Irina,Lepșa,Rumania,102.0,127.0,229.0
64 kg,2020,Femenino,Plata,Sarah,Davies,Reino Unido,101.0,129.0,230.0
71 kg,2019,Femenino,Bronce,Mădălina,Molie,Rumania,101.0,114.0,215.0
71 kg,2020,Femenino,Bronce,Raluca,Olaru,Rumania,98.0,120.0,218.0
71 kg,2019,Femenino,Oro,Anastasiya,Romanova,Rusia,112.0,128.0,240.0
71 kg,2020,Femenino,Oro,Emily,Godley,Reino Unido,98.0,129.0,227.0
71 kg,2019,Femenino,Plata,Emily,Godley,Reino Unido,93.0,123.0,216.0
71 kg,2020,Femenino,Plata,Alessia,Durante,Italia,97.0,122.0,219.0
76 kg,2019,Femenino,Bronce,Patricia,Strenius,Suecia,101.0,132.0,233.0
76 kg,2020,Femenino,Bronce,Anastasiya,Romanova,Rusia,111.0,132.0,243.0
76 kg,2019,Femenino,Oro,Daria,Naumava,Bielorrusia,106.0,136.0,242.0
76 kg,2020,Femenino,Oro,Iryna,Deja,Ucrania,113.0,135.0,248.0
76 kg,2019,Femenino,Plata,Lidia,Valentín[2],España,108.0,133.0,241.0
76 kg,2020,Femenino,Plata,Yana,Sotiyeva,Rusia,112.0,134.0,246.0
81 kg,2019,Femenino,Bronce,Liana,Guiurdzhian,Armenia,97.0,120.0,217.0
81 kg,2020,Femenino,Bronce,Liana,Guiurdzhian,Armenia,98.0,129.0,227.0
81 kg,2019,Femenino,Oro,Nina,Schroth,Alemania,102.0,120.0,222.0
81 kg,2020,Femenino,Oro,Alina,Marushchak,Ucrania,109.0,127.0,236.0
81 kg,2019,Femenino,Plata,Anna,Van Bellinghen,Bélgica,103.0,118.0,221.0
81 kg,2020,Femenino,Plata,Gaëlle,Nayo-Ketchanke,Francia,100.0,131.0,231.0
87 kg,2019,Femenino,Bronce,Sarah,Fischer,Austria,102.0,129.0,231.0
87 kg,2020,Femenino,Bronce,Daria,Riazanova,Rusia,105.0,135.0,240.0
87 kg,2019,Femenino,Oro,Xeniya,Pasjina,Rusia,110.0,132.0,242.0
87 kg,2020,Femenino,Oro,Daria,Ajmerova,Rusia,108.0,138.0,246.0
87 kg,2019,Femenino,Plata,Diana,Mstiyeva,Rusia,110.0,130.0,240.0
87 kg,2020,Femenino,Plata,Elena,Cîlcic,Moldavia,107.0,138.0,245.0
+109 kg,2019,Masculino,Bronce,Ruben,Alexanian,Armenia,195.0,245.0,440.0
+109 kg,2020,Masculino,Bronce,Varazdat,Lalayan,Armenia,205.0,240.0,445.0
+109 kg,2019,Masculino,Oro,Lasha,Talajadze,Georgia,218.0,260.0,478.0
+109 kg,2020,Masculino,Oro,Lasha,Talajadze,Georgia,222.0,263.0,485.0
+109 kg,2019,Masculino,Plata,Irakli,Turmanidze,Georgia,206.0,241.0,447.0
+109 kg,2020,Masculino,Plata,Gor,Minasian,Armenia,216.0,248.0,464.0
102 kg,2019,Masculino,Bronce,Vadzim,Straltsou,Bielorrusia,170.0,206.0,376.0
102 kg,2020,Masculino,Bronce,Dadaş,Dadaşbəyli,Azerbaiyán,177.0,202.0,379.0
102 kg,2019,Masculino,Oro,Dmytro,Chumak,Ucrania,175.0,216.0,391.0
102 kg,2020,Masculino,Oro,Samvel,Gasparian,Armenia,176.0,214.0,390.0
102 kg,2019,Masculino,Plata,Samvel,Gasparian,Armenia,168.0,209.0,377.0
102 kg,2020,Masculino,Plata,Arsen,Martirosian,Armenia,171.0,209.0,380.0
109 kg,2019,Masculino,Bronce,Rodion,Bochkov,Rusia,192.0,218.0,410.0
109 kg,2020,Masculino,Bronce,Timur,Naniyev,Rusia,184.0,217.0,401.0
109 kg,2019,Masculino,Oro,Simon,Martirosian,Armenia,192.0,235.0,427.0
109 kg,2020,Masculino,Oro,Dmytro,Chumak,Ucrania,181.0,226.0,407.0
109 kg,2019,Masculino,Plata,Andrei,Aramnau,Bielorrusia,190.0,221.0,411.0
109 kg,2020,Masculino,Plata,Jristo,Jristov,Bulgaria,186.0,220.0,406.0
55 kg,2019,Masculino,Bronce,Muammer,Şahin,Turquía,112.0,135.0,247.0
55 kg,2020,Masculino,Bronce,Dmytro,Voronovsky,Ucrania,110.0,137.0,247.0
55 kg,2019,Masculino,Oro,Mirco,Scarantino,Italia,116.0,145.0,261.0
55 kg,2020,Masculino,Oro,Anguel,Rusev,Bulgaria,111.0,147.0,258.0
55 kg,2019,Masculino,Plata,Anguel,Rusev,Bulgaria,110.0,146.0,256.0
55 kg,2020,Masculino,Plata,Valentin,Iancu,Rumania,108.0,140.0,248.0
61 kg,2019,Masculino,Bronce,Ferdi,Hardal,Turquía,127.0,155.0,282.0
61 kg,2020,Masculino,Bronce,Ferdi,Hardal,Turquía,130.0,157.0,287.0
61 kg,2019,Masculino,Oro,Henadz,Laptseu,Bielorrusia,133.0,153.0,286.0
61 kg,2020,Masculino,Oro,Stilian,Grozdev,Bulgaria,136.0,160.0,296.0
61 kg,2019,Masculino,Plata,Bünyamin,Sezer,Turquía,132.0,151.0,283.0
61 kg,2020,Masculino,Plata,Shota,Mishvelidze,Georgia,135.0,155.0,290.0
67 kg,2019,Masculino,Bronce,Goga,Chjeidze,Georgia,139.0,169.0,308.0
67 kg,2020,Masculino,Bronce,Valentin,Guenchev,Bulgaria,138.0,177.0,315.0
67 kg,2019,Masculino,Oro,Bernardin,Matam,Francia,137.0,175.0,312.0
67 kg,2020,Masculino,Oro,Muhammed,Özbek,Turquía,145.0,178.0,323.0
67 kg,2019,Masculino,Plata,Simon,Brandhuber,Alemania,146.0,165.0,311.0
67 kg,2020,Masculino,Plata,Mirko,Zanni,Italia,148.0,170.0,318.0
73 kg,2019,Masculino,Bronce,Vadzim,Lijarad,Bielorrusia,153.0,182.0,335.0
73 kg,2020,Masculino,Bronce,Briken,Calja,Albania,152.0,184.0,336.0
73 kg,2019,Masculino,Oro,Bozhidar,Andreev,Bulgaria,153.0,192.0,345.0
73 kg,2020,Masculino,Oro,Daniyar,İsmayilov,Turquía,160.0,181.0,341.0
73 kg,2019,Masculino,Plata,Briken,Calja,Albania,156.0,183.0,339.0
73 kg,2020,Masculino,Plata,Marin,Robu,Moldavia,156.0,183.0,339.0
81 kg,2019,Masculino,Bronce,Ritvars,Suharevs,Letonia,162.0,192.0,354.0
81 kg,2020,Masculino,Bronce,Ritvars,Suharevs,Letonia,157.0,190.0,347.0
81 kg,2019,Masculino,Oro,Antonino,Pizzolato,Italia,155.0,201.0,356.0
81 kg,2020,Masculino,Oro,Antonino,Pizzolato,Italia,164.0,206.0,370.0
81 kg,2019,Masculino,Plata,Piotr,Asayonak,Bielorrusia,159.0,196.0,355.0
81 kg,2020,Masculino,Plata,Karlos,Nasar,Bulgaria,163.0,206.0,369.0
89 kg,2019,Masculino,Bronce,Davit,Hovhannisian,Armenia,165.0,195.0,360.0
89 kg,2020,Masculino,Bronce,Andranik,Karapetian,Armenia,170.0,195.0,365.0
89 kg,2019,Masculino,Oro,Hakob,Mkrtchian,Armenia,164.0,207.0,371.0
89 kg,2020,Masculino,Oro,Karen,Avaguian,Armenia,175.0,200.0,375.0
89 kg,2019,Masculino,Plata,Revaz,Davitadze,Georgia,170.0,200.0,370.0
89 kg,2020,Masculino,Plata,Revaz,Davitadze,Georgia,171.0,203.0,374.0
96 kg,2019,Masculino,Bronce,Anton,Pliesnoi,Georgia,173.0,204.0,377.0
96 kg,2020,Masculino,Bronce,Hakob,Mkrtchian,Armenia,160.0,212.0,372.0
96 kg,2019,Masculino,Oro,Yauheni,Tsijantsou,Bielorrusia,178.0,222.0,400.0
96 kg,2020,Masculino,Oro,Anton,Pliesnoi,Georgia,180.0,213.0,393.0
96 kg,2019,Masculino,Plata,Yegor,Klimonov,Rusia,168.0,210.0,378.0
96 kg,2020,Masculino,Plata,Piotr,Asayonak,Bielorrusia,172.0,202.0,374.0
55 kg (04.04),2021,Masculino,Oro,Anguel,Rusev,Bulgaria,111.0,147.0,258.0
61 kg (04.04),2021,Masculino,Oro,Stilian,Grozdev,Bulgaria,136.0,160.0,296.0
67 kg (05.04),2021,Masculino,Oro,Muhammed,Özbek,Turquía,145.0,178.0,323.0
73 kg (06.04),2021,Masculino,Oro,Daniyar,İsmayilov,Turquía,160.0,181.0,341.0
81 kg (07.04),2021,Masculino,Oro,Antonino,Pizzolato,Italia,164.0,206.0,370.0
89 kg (08.04),2021,Masculino,Oro,Karen,Avaguian,Armenia,175.0,200.0,375.0
96 kg (09.04),2021,Masculino,Oro,Anton,Pliesnoi,Georgia,180.0,213.0,393.0
102 kg (10.04),2021,Masculino,Oro,Samvel,Gasparian,Armenia,176.0,214.0,390.0
109 kg (10.04),2021,Masculino,Oro,Dmytro,Chumak,Ucrania,181.0,226.0,407.0
+109 kg (11.04),2021,Masculino,Oro,Lasha,Talajadze,Georgia,222.0,263.0,485.0
45 kg (03.04),2021,Femenino,Oro,Nadezhda,Nguen,Bulgaria,72.0,83.0,155.0
49 kg (03.04),2021,Femenino,Oro,Monica,Csengeri,Rumania,86.0,103.0,189.0
55 kg (04.04),2021,Femenino,Oro,Kamila,Konotop,Ucrania,95.0,113.0,208.0
59 kg (05.04),2021,Femenino,Oro,Boyanka,Kostova,Azerbaiyán,95.0,116.0,211.0
64 kg (06.04),2021,Femenino,Oro,Loredana,Toma,Rumania,114.0,130.0,244.0
71 kg (07.04),2021,Femenino,Oro,Emily,Godley,Reino Unido,98.0,129.0,227.0
76 kg (08.04),2021,Femenino,Oro,Iryna,Deja,Ucrania,113.0,135.0,248.0
81 kg (09.04),2021,Femenino,Oro,Alina,Marushchak,Ucrania,109.0,127.0,236.0
87 kg (10.04),2021,Femenino,Oro,Daria,Ajmerova,Rusia,108.0,138.0,246.0
+87 kg (11.04),2021,Femenino,Oro,Emily,Campbell,Reino Unido,122.0,154.0,276.0
55 kg (29.05),2022,Masculino,Oro,Anguel,Rusev,Bulgaria,113.0,144.0,257.0
61 kg (29.05),2022,Masculino,Oro,Ivan,Dimov,Bulgaria,135.0,151.0,286.0
67 kg (30.05),2022,Masculino,Oro,Valentin,Guenchev,Bulgaria,139.0,175.0,314.0
73 kg (31.05),2022,Masculino,Oro,Muhammed,Özbek,Turquía,149.0,190.0,339.0
81 kg (01.06),2022,Masculino,Oro,Rafik,Harutiunian,Armenia,160.0,194.0,354.0
89 kg (02.06),2022,Masculino,Oro,Antonino,Pizzolato,Italia,175.0,217.0,392.0
96 kg (03.06),2022,Masculino,Oro,Davit,Hovhannisian,Armenia,171.0,206.0,377.0
102 kg (04.06),2022,Masculino,Oro,David,Fischerov,Bulgaria,177.0,215.0,392.0
109 kg (04.06),2022,Masculino,Oro,Jristo,Jristov,Bulgaria,180.0,211.0,391.0
+109 kg (05.06),2022,Masculino,Oro,Lasha,Talajadze,Georgia,217.0,245.0,462.0
45 kg (28.05),2022,Femenino,Oro,Şaziye,Erdoğan,Turquía,73.0,90.0,163.0
49 kg (28.05),2022,Femenino,Oro,Giulia,Imperio,Italia,79.0,92.0,171.0
55 kg (29.05),2022,Femenino,Oro,Evagjelia,Veli,Albania,95.0,113.0,208.0
59 kg (30.05),2022,Femenino,Oro,Dora,Tchakounté,Francia,96.0,117.0,213.0
64 kg (31.05),2022,Femenino,Oro,Mariya,Hanhur,Ucrania,102.0,120.0,222.0
71 kg (01.06),2022,Femenino,Oro,Patricia,Strenius,Suecia,94.0,130.0,224.0
76 kg (02.06),2022,Femenino,Oro,Marie,Fegue,Francia,110.0,135.0,245.0
81 kg (03.06),2022,Femenino,Oro,Iryna,Deja,Ucrania,116.0,137.0,253.0
87 kg (04.06),2022,Femenino,Oro,Solfrid,Koanda,Noruega,109.0,143.0,252.0
+87 kg (05.06),2022,Femenino,Oro,Emily,Campbell,Reino Unido,118.0,153.0,271.0
55 kg (16.04),2023,Masculino,Oro,Anguel,Rusev,Bulgaria,109.0,141.0,250.0
61 kg (16.04),2023,Masculino,Oro,Shota,Mishvelidze,Georgia,136.0,162.0,298.0
67 kg (17.04),2023,Masculino,Oro,Gor,Sahakian,Armenia,145.0,175.0,320.0
73 kg (18.04),2023,Masculino,Oro,Ritvars,Suharevs,Letonia,152.0,184.0,336.0
81 kg (19.04),2023,Masculino,Oro,Oscar,Reyes Martínez,Italia,155.0,188.0,343.0
89 kg (20.04),2023,Masculino,Oro,Karlos,Nasar,Bulgaria,174.0,221.0,395.0
96 kg (21.04),2023,Masculino,Oro,Davit,Hovhannisian,Armenia,172.0,205.0,377.0
102 kg (22.04),2023,Masculino,Oro,Garik,Karapetian,Armenia,178.0,214.0,392.0
109 kg (22.04),2023,Masculino,Oro,Samvel,Gasparian,Armenia,175.0,220.0,395.0
+109 kg (23.04),2023,Masculino,Oro,Lasha,Talajadze,Georgia,222.0,252.0,474.0
45 kg (15.04),2023,Femenino,Oro,Cansu,Bektaş,Turquía,72.0,90.0,162.0
49 kg (15.04),2023,Femenino,Oro,Mihaela,Cambei,Rumania,92.0,106.0,198.0
55 kg (16.04),2023,Femenino,Oro,Andreea,Cotruță,Rumania,91.0,110.0,201.0
59 kg (17.04),2023,Femenino,Oro,Kamila,Konotop,Ucrania,106.0,129.0,235.0
64 kg (18.04),2023,Femenino,Oro,Nuray,Güngör,Turquía,99.0,120.0,219.0
71 kg (19.04),2023,Femenino,Oro,Loredana,Toma,Rumania,110.0,130.0,240.0
76 kg (20.04),2023,Femenino,Oro,Marie,Fegue,Francia,113.0,140.0,253.0
81 kg (21.04),2023,Femenino,Oro,Iryna,Deja,Ucrania,123.0,135.0,258.0
87 kg (22.04),2023,Femenino,Oro,Solfrid,Koanda,Noruega,117.0,155.0,272.0
+87 kg (23.04),2023,Femenino,Oro,Emily,Campbell,Reino Unido,110.0,143.0,253.0
55 kg (13.02),2024,Masculino,Oro,Anguel,Rusev,Bulgaria,109.0,135.0,244.0
61 kg (13.02),2024,Masculino,Oro,Gabriel,Marinov,Bulgaria,121.0,160.0,281.0
67 kg (14.02),2024,Masculino,Oro,Gor,Sahakian,Armenia,140.0,171.0,311.0
73 kg (15.02),2024,Masculino,Oro,Bozhidar,Andreev,Bulgaria,155.0,193.0,348.0
81 kg (16.02),2024,Masculino,Oro,Oscar,Reyes Martínez,Italia,155.0,191.0,346.0
89 kg (17.02),2024,Masculino,Oro,Karlos,Nasar,Bulgaria,176.0,215.0,391.0
96 kg (18.02),2024,Masculino,Oro,Hakob,Mkrtchian,Armenia,166.0,209.0,375.0
